lon,lat,lev,time,pe
1.0,32.5,12.0,2020-05-16,0.6490975
1.0,32.5,12.0,2020-05-17,0.6693141
1.0,32.5,12.0,2020-05-18,0.833935
1.0,32.5,12.0,2020-05-19,0.78700364
1.0,32.5,12.0,2020-05-20,0.7963899
1.0,32.5,12.0,2020-05-21,0.36101082
1.0,32.5,12.0,2020-05-22,0.16245487
1.0,32.5,12.0,2020-05-23,0.39133576
1.0,32.5,12.0,2020-05-24,0.71407944
1.0,32.5,12.0,2020-05-25,0.7537906
1.0,32.5,12.0,2020-05-26,0.80866426
1.0,32.5,12.0,2020-05-27,0.700361
1.0,32.5,12.0,2020-05-28,0.40072203
1.0,32.5,12.0,2020-05-29,0.34368232
1.0,32.5,12.0,2020-05-30,0.7696751
1.0,32.5,12.0,2020-05-31,0.30974728
1.0,32.5,12.0,2020-06-01,0.7552346
1.0,32.5,12.0,2020-06-02,0.6375451
1.0,32.5,12.0,2020-06-03,0.6815885
1.0,32.5,12.0,2020-06-04,0.71913356
1.0,32.5,12.0,2020-06-05,0.7516245
1.0,32.5,12.0,2020-06-06,0.766787
1.0,32.5,12.0,2020-06-07,0.51696754
1.0,32.5,12.0,2020-06-08,0.4866426
1.0,32.5,12.0,2020-06-09,0.54151624
1.0,32.5,12.0,2020-06-10,0.15740073
1.0,32.5,12.0,2020-06-11,0.15162455
1.0,32.5,12.0,2020-06-12,0.80144405
1.0,32.5,12.0,2020-06-13,0.7436823
1.0,32.5,12.0,2020-06-14,0.29025272
1.0,32.5,12.0,2020-06-15,0.11046932
1.0,32.5,12.0,2020-06-16,0.6714801
1.0,32.5,12.0,2020-06-17,0.68231046
1.0,32.5,12.0,2020-06-18,0.75090253
1.0,32.5,12.0,2020-06-19,0.7400722
1.0,32.5,12.0,2020-06-20,0.77472925
1.0,32.5,12.0,2020-06-21,0.09386282
1.0,32.5,12.0,2020-06-22,0.3104693
1.0,32.5,12.0,2020-06-23,0.77184117
1.0,32.5,12.0,2020-06-24,0.5176895
